Time,Start:,End:,Duration:,Charged:(kWh)
2026-05-18 15:13:15,15:13,16:24,01:11:37,6.1
2026-05-17 11:42:49,11:42,07:09,19:27:08,9.9
2026-05-16 18:24:40,18:24,19:21,00:57:04,8.3
2026-05-16 04:04:04,04:04,06:08,02:04:09,13.8
2026-05-15 22:00:31,22:00,00:55,02:55:20,19.6
2026-05-15 21:41:03,21:41,21:50,00:09:10,1.4
2026-05-15 15:41:42,15:41,16:48,01:06:40,11.7
2026-05-15 03:12:43,03:12,07:09,03:57:10,27.1
2026-05-14 16:12:26,16:12,17:15,01:03:11,11.3
2026-05-14 02:28:56,02:28,07:57,05:28:55,26.2
2026-05-13 20:33:11,20:33,21:27,00:54:35,4.7
2026-05-13 18:14:40,18:14,19:21,01:07:13,6.0
2026-05-13 02:53:37,02:53,07:09,04:16:21,21.8
2026-05-12 21:22:09,21:22,23:53,02:30:58,13.6
2026-05-12 12:11:33,12:11,13:16,01:04:49,5.8
2026-05-12 02:13:54,02:13,07:09,04:55:56,27.7
2026-05-11 22:20:05,22:20,23:53,01:33:10,16.3
2026-05-11 21:02:20,21:02,22:19,01:17:14,11.2
2026-05-11 03:52:28,03:52,08:15,04:23:01,38.9
2026-05-10 23:56:06,23:56,00:57,01:01:08,9.0
2026-05-10 22:52:49,22:52,23:14,00:21:39,3.1
2026-05-10 20:05:04,20:05,21:08,01:03:05,9.3
2026-05-09 23:23:38,23:23,03:25,04:01:55,36.0
2026-05-08 23:49:08,23:49,03:07,03:17:57,29.3
2026-05-08 23:24:21,23:24,23:40,00:15:49,2.2
2026-05-08 15:40:32,15:40,16:48,01:08:23,10.1
2026-05-08 14:16:45,14:16,14:56,00:39:16,5.8
2026-05-07 23:02:54,23:02,03:17,04:16:25,37.8
2026-05-07 23:01:13,23:01,23:02,00:01:14,0.1
2026-05-07 23:00:03,23:00,23:01,00:00:49,0.0
2026-05-02 20:12:05,20:12,20:17,00:05:10,0.8
